Fecha,Anio,Mes,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,share_mes,Frecuencia,TipoDato
2008-08-01,2008,8,2228.88,1230.13,0.0,772.5587333254883,8645568.97481998,0.6226578347789349,11124.313015930067,0.0691168772215685,Mensual,Estimado
2008-09-01,2008,9,2228.88,1230.13,0.0,886.7982538606943,9924003.366708957,0.7147312648422338,11124.313015930067,0.0793373026391867,Mensual,Estimado
2008-10-01,2008,10,2228.88,1230.13,0.0,1102.5998393485768,12339000.973661052,0.8886604978771726,11124.313015930067,0.0986439663852319,Mensual,Estimado
2008-11-01,2008,11,2228.88,1230.13,0.0,1179.9240486828876,13204322.60732583,0.9509813580049816,11124.313015930067,0.1055617677798383,Mensual,Estimado
2008-12-01,2008,12,2228.88,1230.13,0.0,1231.2565546476733,13778775.657721851,0.9923537296306664,11124.313015930067,0.1101542244555545,Mensual,Estimado
2009-01-01,2009,1,5402.88,1987.83,0.0,1856.2138753032602,22815107.491342165,0.9965744640974841,12367.725551741834,0.1206788884585672,Mensual,Estimado
2009-02-01,2009,2,5402.88,1987.83,0.0,1413.5188344894677,17373851.461295158,0.7588978800963322,12367.725551741834,0.0918977516712989,Mensual,Estimado
2009-03-01,2009,3,5402.88,1987.83,0.0,1838.0858155870465,22592291.77137707,0.9868417702322035,12367.725551741834,0.1195003205545288,Mensual,Estimado
2009-04-01,2009,4,5402.88,1987.83,0.0,1715.0434638193067,21079952.854553767,0.9207821057691328,12367.725551741834,0.1115009114119627,Mensual,Estimado
2009-05-01,2009,5,5402.88,1987.83,0.0,1276.5810291477978,15690720.65936197,0.6853779469739896,12367.725551741834,0.0829949509992112,Mensual,Estimado
2009-06-01,2009,6,5402.88,1987.83,0.0,1256.6193688379099,15445367.776412882,0.6746608193894472,12367.72555174183,0.0816971743744183,Mensual,Estimado
2009-07-01,2009,7,5402.88,1987.83,0.0,731.4227395540909,8990067.710711524,0.39269032216491995,12367.725551741833,0.0475523237796544,Mensual,Estimado
2009-08-01,2009,8,5402.88,1987.83,0.0,757.2699328537045,9307760.893230073,0.40656730754559334,12367.725551741834,0.0492327392741575,Mensual,Estimado
2009-09-01,2009,9,5402.88,1987.83,0.0,956.2752334189586,11753776.077230003,0.5134103838753485,12367.725551741834,0.0621707626286345,Mensual,Estimado
2009-10-01,2009,10,5402.88,1987.83,0.0,1265.0481495995896,15548967.658763327,0.679186110242148,12367.725551741834,0.0822451585840581,Mensual,Estimado
2009-11-01,2009,11,5402.88,1987.83,0.0,1121.8482157506992,13788867.744101416,0.6023041306206252,12367.725551741834,0.0729352352642569,Mensual,Estimado
2009-12-01,2009,12,5402.88,1987.83,0.0,1193.5033416381686,14669595.671620643,0.6407747344832734,12367.725551741834,0.0775937829992509,Mensual,Estimado
2010-01-01,2010,1,8468.48,4225.83,0.0,3437.4109272630412,42499872.827130795,0.9475123857070274,12534.429571630335,0.1146308782491164,Mensual,Estimado
2010-02-01,2010,2,8468.48,4225.83,0.0,2475.1129416596946,30602097.764633365,0.6822577276536521,12534.429571630331,0.0825401374092081,Mensual,Estimado
