Anio,Nommodalidad,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,Mes,share_mes,Frecuencia,TipoDato,Fecha
2004,Riego,368.7,303.7,0.0,2.986362771693817,17205.051107768013,0.009833265629548294,5761.205996420048,5,0.001113649601616131,Mensual,Estimado,2004-05-01
2004,Temporal,231.5,175.0,0.0,1.7284064547002675,10172.253645097999,0.009876608312572957,5885.336529168439,5,0.001113649601616131,Mensual,Estimado,2004-05-01
2004,Riego,368.7,303.7,0.0,3.729071109820752,21483.94683897608,0.0122787985176844,5761.205996420048,6,0.001390614226514302,Mensual,Estimado,2004-06-01
2004,Temporal,231.5,175.0,0.0,2.158261091834727,12702.092843257877,0.012332920524769869,5885.336529168439,6,0.001390614226514302,Mensual,Estimado,2004-06-01
2004,Riego,368.7,303.7,0.0,2.5762197185472706,14842.132490590106,0.0084827781315353,5761.205996420049,7,0.0009607024606754441,Mensual,Estimado,2004-07-01
2004,Temporal,231.5,175.0,0.0,1.4910294330175027,8775.209988203214,0.008520168188671445,5885.336529168439,7,0.0009607024606754441,Mensual,Estimado,2004-07-01
2004,Riego,368.7,303.7,0.0,1.118395492454375,6443.306817497298,0.003682566652796757,5761.205996420047,8,0.0004170627582243344,Mensual,Estimado,2004-08-01
2004,Temporal,231.5,175.0,0.0,0.6472897420193314,3809.517963662386,0.003698798525824751,5885.336529168439,8,0.0004170627582243344,Mensual,Estimado,2004-08-01
2004,Riego,368.7,303.7,0.0,3.4724890544293787,20005.724762881517,0.011433944861473094,5761.205996420047,9,0.0012949317774572564,Mensual,Estimado,2004-09-01
2004,Temporal,231.5,175.0,0.0,2.009760017249211,11828.114044378974,0.011484342955709777,5885.3365291684395,9,0.0012949317774572564,Mensual,Estimado,2004-09-01
2004,Riego,368.7,303.7,0.0,116.70497173864653,672361.3829927227,0.38427715422669256,5761.205996420048,10,0.043520648768886686,Mensual,Estimado,2004-10-01
2004,Temporal,231.5,175.0,0.0,67.54491730228752,397524.56915881403,0.3859709560130715,5885.336529168439,10,0.043520648768886686,Mensual,Estimado,2004-10-01
2004,Riego,368.7,303.7,0.0,261.3812698697493,1505871.3393254864,0.8606561404996684,5761.205996420048,11,0.09747213226049721,Mensual,Estimado,2004-11-01
